Street_bounding,Name_bounding,Address_bounding,Rating_bounding,Place ID,Latitude_bounding,Longitude_bounding,flag
liberty ave,Emilichka,"4614 Liberty Avenue, Pittsburgh",5.0,ChIJ--McpzzzNIgR7A8dIGZBu9c,40.4621346,-79.95043059999999,bounding_only
42nd st,Earthview Studios,"605 Pittview Avenue, Pittsburgh",5.0,ChIJ-4Dzi6_zNIgRZy4RRW1g_II,40.4738113,-79.9746771,consolidated
49th St,Jean-Marc Chatellier's French Bakery,"213 North Avenue, Millvale",4.8,ChIJ-5-3DKjzNIgRmnRq71bLZuE,40.48123099999999,-79.974795,broad_filled
penn ave,Polish Eagles Society,"208 Fisk Street, Pittsburgh",4.9,ChIJ-725AE3yNIgRaKfBaozVOKc,40.4689862,-79.9613179,consolidated
penn ave,York Commons,"4003 Penn Avenue, Pittsburgh",3.5,ChIJ-SRFTEnyNIgRh2GuecKy29c,40.46574820000001,-79.9575601,consolidated
50th St,Curated Flame,"505 Grant Avenue, Millvale",4.9,ChIJ-WdLXWPzNIgRcT6R7buS6Y4,40.4804326,-79.9742952,broad_filled
liberty ave,Industrius CFO,"4117 Liberty Avenue, Pittsburgh",,ChIJ-Yu9kUjyNIgRDuG3wqPAzZ8,40.46367969999999,-79.95377049999999,bounding_only
liberty ave,Be The Boss,"4117 Liberty Avenue, Pittsburgh",,ChIJ-Yu9kUjyNIgRXyu2uj0rRV0,40.463579,-79.953955,bounding_only
liberty ave,eCollect Plus,"804 Fayette Street, Conshohocken",3.0,ChIJ-Yu9kUjyNIgRnRbcZPZDSz8,40.4637138,-79.9538054,bounding_only
Plummer St,Ceney Electronics,"318 Grant Avenue, Millvale",4.2,ChIJ-Zem-KjzNIgR8LmP3mZdmjM,40.479776,-79.97272319999999,broad_filled
penn ave,Phoenix Boutique,"3627 Butler Street, Pittsburgh",4.7,ChIJ-_-tprTzNIgRvqYUNU98OK8,40.4661902,-79.9649519,consolidated
34th St,Pacific Pride Commercial Fueling,"3225 Smallman Street, Pittsburgh",4.3,ChIJ-_hqBLbzNIgRC9-VHL_nA-A,40.46226590000001,-79.9700751,broad_filled
penn ave,"Dr. Gregory N. Smith, MD","3937 Butler Street, Pittsburgh",,ChIJ-cG-xEzyNIgRaIHKdqAuMr8,40.4689045,-79.9634657,consolidated
penn ave,"Tara Clemente, MSW","3937 Butler Street, Pittsburgh",,ChIJ-cG-xEzyNIgRgDufet11Z4k,40.4689045,-79.9634657,consolidated
penn ave,Lawrenceville Family Health Ct: Yuan David T MD,"3937 Butler Street, Pittsburgh",,ChIJ-cG-xEzyNIgRryE9fwcDv7g,40.4689006,-79.9634566,consolidated
penn ave,UPMC St. Margaret Lawrenceville Family Health Center,"3937 Butler Street, Pittsburgh",3.4,ChIJ-cG-xEzyNIgRzy312BgaCN0,40.4688796,-79.9634715,consolidated
liberty ave,"Beverly J. Gruarin, DPM","4732 Liberty Avenue, Pittsburgh",3.7,ChIJ-cK6FEfyNIgR8PUiV3wyTag,40.46138699999999,-79.94888929999999,bounding_only
liberty ave,Family Foot Center,"4732 Liberty Avenue, Pittsburgh",3.1,ChIJ-cK6FEfyNIgRwo5OIug-r5M,40.46134,-79.94895,bounding_only
39th St,Topographic & Geologic Survey,"500 Waterfront Drive, Pittsburgh",,ChIJ-e-s6bnzNIgRYpKj9SWVW_4,40.46618839999999,-79.97638429999999,broad_filled
Plummer St,Lawrence Locksmith Shop,"316 Grant Avenue, Pittsburgh",1.0,ChIJ-fWjXi_zNIgR051nmPlnsA4,40.47976169999999,-79.9726717,broad_filled
penn ave,Penn Ave + 39th St,United States,5.0,ChIJ-wZzvkvyNIgRgu3cnqvUhec,40.464779,-79.960281,consolidated
46th St,GPSA INC,"112 Lincoln Avenue, Pittsburgh",4.5,ChIJ-xRtxxbzNIgRvO-5ETxUn98,40.478895,-79.96869199999999,broad_filled
penn ave,Millie's Homemade Ice Cream,"3803 Butler Street, Pittsburgh",4.8,ChIJ-y1mRQ_zNIgR0jQVTxnHryg,40.4670682,-79.96431439999999,consolidated
butler st,Precise Grinding,"140 46th Street, Pittsburgh",,ChIJ-y5bEvLzNIgRY6pnYs2PiCA,40.47408610000001,-79.9609721,bounding_only
34th St,PeopleReady,"19 35th Street, Pittsburgh",3.1,ChIJ0-QK4C4uNIgRka4iiu5OzR4,40.4660929,-79.9705912,broad_filled
liberty ave,Bloomfield Park,"408 Ella Street, Pittsburgh",4.4,ChIJ00zxaEjyNIgRAmIQw4o3bx4,40.46288860000001,-79.95391219999999,consolidated
butler st,Renaissance & Baroque,"100 43rd Street, Pittsburgh",,ChIJ03YddW7yNIgRhFTGUs8xFQ0,40.4728608,-79.9638889,consolidated
46th St,United States Postal Service,"205 Lincoln Avenue, Millvale",2.4,ChIJ073rnanzNIgR20njvRuMhDk,40.4794674,-79.9707229,broad_filled
penn ave,Santurbane Photography,"4018 Penn Avenue, Pittsburgh",,ChIJ07HCR6jzNIgRqpgRNIT8ov4,40.4651819,-79.9571503,bounding_only
44th St,East Ohio St + Grant,United States,,ChIJ07RG3avzNIgRmDZgzJzUBG0,40.478296,-79.96892000000001,broad_filled
52nd st,Veterans Place of Washington Boulevard,"25 Bateman Street Apartment 4, Pittsburgh",,ChIJ083apoDzNIgR96ZHfxzZKng,40.4806974,-79.97856879999999,consolidated
butler st,Parker Button Co,"4603 Butler Street, Pittsburgh",4.2,ChIJ09YbR2nxNIgRHcxJerzONtI,40.4730732,-79.9589182,consolidated
butler st,Clarissa Boutique,"4603 Butler Street, Pittsburgh",4.9,ChIJ09YbR2nxNIgRampHzOVXKT0,40.4730732,-79.9589182,consolidated
liberty ave,Bloomfield Lofts,"Edmond Street, Pittsburgh",,ChIJ0R5bN0fyNIgRPwagLfkMFEE,40.4612999,-79.94781429999999,bounding_only
liberty ave,Clement Way Graffiti Alley,"Clement Way, Pittsburgh",5.0,ChIJ0RD2-WfzNIgRl4pA4Auo4S4,40.463838,-79.95373579999999,bounding_only
penn ave,Burghers Brewing Company Lawrenceville Tap House,"3601 Butler Street, Pittsburgh",4.2,ChIJ0TkalrTzNIgR3WQ1VOvp8Jg,40.46550839999999,-79.9653805,bounding_only
butler st,Mix Candle Co Lawrenceville,"4409 Butler Street, Pittsburgh",4.7,ChIJ0UHfElLyNIgR4lBVX8eXhoc,40.4718971,-79.9597418,consolidated
48th St,Mr. Smalls Recording and Mastering,"122 Butler Street, Pittsburgh",4.6,ChIJ0WWKHQX0NIgRzv58VQAAsvI,40.48032020000001,-79.972236,broad_filled
liberty ave,First National Bank,"4724 Liberty Avenue, Pittsburgh",3.8,ChIJ0WyPEkfyNIgR8w5NG4mGAWY,40.4614324,-79.9492944,consolidated
liberty ave,Bloomfield,Pittsburgh,,ChIJ0X4ZRUHyNIgRDG3KutmxB2g,40.4621606,-79.94445259999999,consolidated
penn ave,Tugboat Printshop,"298 Bowery Way, Pittsburgh",5.0,ChIJ0XBFmU7yNIgRZyWnnuwbQaI,40.467453,-79.9579653,consolidated
butler st,Baseball Field,Pittsburgh,,ChIJ0dYvklHyNIgRM7yYcHwosd4,40.4723589,-79.9574781,bounding_only
penn ave,LibertyX Bitcoin ATM,"3822 Butler Street, Pittsburgh",,ChIJ0e4OinjzNIgRgAUW-Q6AA1I,40.4671488,-79.96388089999999,consolidated
liberty ave,"Dr. Subramaniam Palanisamy, MD","4520 Penn Avenue, Pittsburgh",5.0,ChIJ0x5S6EXyNIgRwDvCnPVu4R8,40.4659913,-79.9515885,consolidated
