Street,Name,Address,Rating,Place ID,Latitude,Longitude
Liberty Ave,Pittsburgh,Pittsburgh,N/A,ChIJA4UGSG_xNIgRNBuiWqEV-Y0,40.44062479999999,-79.9958864
Liberty Ave,Marino's Auto Repair,"4610 Juniper Street, Pittsburgh",4,ChIJRbGV9DfyNIgRMLRx3jW9DZs,40.4592334,-79.9531763
Liberty Ave,Hammer-Mann Designwerks,"431 Dargan Street, Pittsburgh",5,ChIJ9eOYxW3yNIgRucjj5X3Zf3s,40.4613826,-79.9540572
Liberty Ave,Training Revelations,"605 Melwood Avenue, Pittsburgh",5,ChIJrTLSyBDyNIgRAbSF0QtgMZE,40.4573768,-79.9546343
Liberty Ave,Independent Enterprises LLC,"4420 Lorigan Street, Pittsburgh",N/A,ChIJf3QuFwDzNIgRptcoYOdNv7U,40.4605937,-79.9549838
Liberty Ave,Ella St. Steps,"445 Ella Street, Bloomfield",4.5,ChIJIwCSCQDzNIgR0YuTHtSP28Y,40.46070069999999,-79.9537885
Liberty Ave,"Herky's Food Products, Inc.","4507 Minerva Street, Pittsburgh",4.3,ChIJpUuZA0jyNIgRilfeI4Oi8gs,40.46067,-79.9533469
Liberty Ave,Bloomfield Bridge,"Martin Luther King Jr. East Busway, Pittsburgh",5,ChIJd0wWA6zzNIgRAJ2ox5hXVqw,40.4603451,-79.9559297
Liberty Ave,Heating & Air Conditioning,"4700 Lorigan Street, Pittsburgh",3,ChIJcyhvIjjyNIgRYc6H47SsRK0,40.4589789,-79.9524299
Liberty Ave,Family Foot Center,"Gold Way, Pittsburgh",N/A,ChIJU_jHBzfyNIgRN3WoeLEUloY,40.45794089999999,-79.9550345
Liberty Ave,Sonitrol Security Systems Tbe Inc,"608 Melwood Avenue, Pittsburgh",5,ChIJhfuPCzfyNIgRwAhklbPTj_k,40.4577177,-79.95446419999999
Liberty Ave,Iron Eden Inc,"4001 Lorigan Street, Pittsburgh",4.6,ChIJGYDk80jyNIgR3v2soh9Pt90,40.4615455,-79.955625
Liberty Ave,U-Haul Moving & Storage of Oakland,"3700 Bigelow Boulevard, Pittsburgh",3.8,ChIJSwrDnU3zNIgRRGzgiDmQI4U,40.4578682,-79.9563884
Liberty Ave,M. O’Herron Company,"4002 Lorigan Street, Pittsburgh",3.7,ChIJTVpDzknyNIgRDS9U29IvEJ0,40.46130650000001,-79.9561643
Liberty Ave,Radish Studio,"3635 Bethoven Street, Pittsburgh",5,ChIJBZ0xazbyNIgR9bDTTm88Xio,40.4593934,-79.95738039999999
Liberty Ave,Vinny's Alignment,"531 Melwood Avenue, Pittsburgh",4.6,ChIJZcCIEzfyNIgR35DWyI7TKuU,40.457129,-79.95448309999999
Liberty Ave,Moving Supplies at U-Haul,"3700 Bigelow Boulevard, Pittsburgh",N/A,ChIJWVY4G9bzNIgRbSWZ0Lgx1YE,40.4576139,-79.95653080000001
Liberty Ave,Trailer Rental at U-Haul,"3700 Bigelow Boulevard, Pittsburgh",4.5,ChIJ54xeI2TzNIgRDBPRGuNxNBA,40.4576139,-79.95653080000001
Liberty Ave,Truck Rental at U-Haul,"3700 Bigelow Boulevard, Pittsburgh",N/A,ChIJy8obPiDzNIgRW7vF1UBEr5k,40.4576139,-79.95653080000001
Liberty Ave,Bloomfield,Pittsburgh,N/A,ChIJ0X4ZRUHyNIgRDG3KutmxB2g,40.4621606,-79.94445259999999
Liberty Ave,Truck Sales at U-Haul,"3700 Bigelow Boulevard, Pittsburgh",N/A,ChIJ_9pPoOrzNIgRV_b0ImU9uOE,40.4576139,-79.95653080000001
Liberty Ave,Bloomfield Swimming,"408 Ella Street, Pittsburgh",4.4,ChIJn4JQ30fyNIgR9WaHWMAIVGk,40.4619524,-79.9533259
Liberty Ave,Bigelow Blvd + Bloomfield Bridge,United States,N/A,ChIJwahdYTbyNIgRcGokPXKnLHM,40.458614,-79.95749699999999
Liberty Ave,Melwood Parklet,Pittsburgh,N/A,ChIJaae-EzbyNIgRcgjFLCh3oPo,40.4599128,-79.9574781
