OBJECTID *,FULL_ADDRE,zon_new,full_zonin,PIN,MAPBLOCKLO,hood,ZIP_CODE,POINT_X,POINT_Y
1,182 34TH ST,RIV-IMU,RIVERFRONT INDUSTRIAL MIXED USE,0049S00119000000,49-S-119,Lower Lawrenceville,15201,-79.968031,40.462882
2,5239 BUTLER ST,LNC,LOCAL NEIGHBORHOOD COMMERCIAL,0080C00145000000,80-C-145,Upper Lawrenceville,15201,-79.954011,40.48131
3,5158 BUTLER ST,LNC,LOCAL NEIGHBORHOOD COMMERCIAL,0080C00087000000,80-C-87,Upper Lawrenceville,15201,-79.954548,40.479883
4,5229 BUTLER ST,LNC,LOCAL NEIGHBORHOOD COMMERCIAL,0080C00140000000,80-C-140,Upper Lawrenceville,15201,-79.954143,40.481117
5,5227 BUTLER ST,LNC,LOCAL NEIGHBORHOOD COMMERCIAL,0080C00139000000,80-C-139,Upper Lawrenceville,15201,-79.954235,40.481095
6,5150 BUTLER ST,LNC,LOCAL NEIGHBORHOOD COMMERCIAL,0080C00091000000,80-C-91,Upper Lawrenceville,15201,-79.954584,40.47967
7,5203 CARNEGIE ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080C00018000000,80-C-18,Upper Lawrenceville,15201,-79.953682,40.480069
8,5161 BUTLER ST,LNC,LOCAL NEIGHBORHOOD COMMERCIAL,0080C00113000000,80-C-113,Upper Lawrenceville,15201,-79.95498,40.48008
9,5232 HARRISON ST,RIV-IMU,RIVERFRONT INDUSTRIAL MIXED USE,0080C00170000000,80-C-170,Upper Lawrenceville,15201,-79.954549,40.481374
10,41 MCCANDLESS AVE,RIV-IMU,RIVERFRONT INDUSTRIAL MIXED USE,0080C00159000000,80-C-159,Upper Lawrenceville,15201,-79.953944,40.481817
11,5200 BUTLER ST,LNC,LOCAL NEIGHBORHOOD COMMERCIAL,0080C00078000000,80-C-78,Upper Lawrenceville,15201,-79.954225,40.480403
12,5152 BUTLER ST,LNC,LOCAL NEIGHBORHOOD COMMERCIAL,0080C00090000000,80-C-90,Upper Lawrenceville,15201,-79.95455,40.479714
13,5166 BUTLER ST,LNC,LOCAL NEIGHBORHOOD COMMERCIAL,0080C00083000000,80-C-83,Upper Lawrenceville,15201,-79.954424,40.480068
14,5205 CARNEGIE ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080C00020000000,80-C-20,Upper Lawrenceville,15201,-79.953604,40.480124
15,5151 BUTLER ST,LNC,LOCAL NEIGHBORHOOD COMMERCIAL,0080C00107000000,80-C-107,Upper Lawrenceville,15201,-79.955055,40.479824
16,5208 BUTLER ST,LNC,LOCAL NEIGHBORHOOD COMMERCIAL,0080C00073000000,80-C-73,Upper Lawrenceville,15201,-79.954096,40.480587
17,5159 CARNEGIE ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080C00008000C00,80-C-8-C,Upper Lawrenceville,15201,-79.954016,40.479448
18,5259 CARNEGIE ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080D00064000000,80-D-64,Upper Lawrenceville,15201,-79.952294,40.48145
19,5269 CARNEGIE ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080D00069000000,80-D-69,Upper Lawrenceville,15201,-79.95202,40.481621
20,5272 CARNEGIE ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080D00094000000,80-D-94,Upper Lawrenceville,15201,-79.951745,40.481431
21,5268 CARNEGIE ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080D00096000A00,80-D-96-A,Upper Lawrenceville,15201,-79.951858,40.481381
22,5252 CARNEGIE ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080D00103000000,80-D-103,Upper Lawrenceville,15201,-79.952255,40.481134
23,5238 CARNEGIE ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080D00115000000,80-D-115,Upper Lawrenceville,15201,-79.952809,40.480665
24,5226 HARRISON ST,RIV-IMU,RIVERFRONT INDUSTRIAL MIXED USE,0080C00173000000,80-C-173,Upper Lawrenceville,15201,-79.954647,40.481236
25,5231 CARNEGIE ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080D00045000B00,80-D-45-B,Upper Lawrenceville,15201,-79.953171,40.480657
26,5240 CARNEGIE ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080D00114000000,80-D-114,Upper Lawrenceville,15201,-79.952779,40.480703
27,5241 NATRONA WAY,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080D00114000B00,80-D-114-B,Upper Lawrenceville,15201,-79.952557,40.480596
28,5234 HARRISON ST,RIV-IMU,RIVERFRONT INDUSTRIAL MIXED USE,0080C00169000000,80-C-169,Upper Lawrenceville,15201,-79.954518,40.481405
29,5244 HARRISON ST,RIV-IMU,RIVERFRONT INDUSTRIAL MIXED USE,0080C00165000000,80-C-165,Upper Lawrenceville,15201,-79.954376,40.481548
30,5235 CARNEGIE ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080D00047000000,80-D-47,Upper Lawrenceville,15201,-79.95311,40.480731
31,5268 BUTLER ST,LNC,LOCAL NEIGHBORHOOD COMMERCIAL,0080D00006000000,80-D-6,Upper Lawrenceville,15201,-79.952574,40.481907
32,5233 NATRONA WAY,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080D00119000000,80-D-119,Upper Lawrenceville,15201,-79.95271,40.480407
33,5236 CARNEGIE ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080D00116000A00,80-D-116-A,Upper Lawrenceville,15201,-79.952832,40.480609
34,5144 BUTLER ST,LNC,LOCAL NEIGHBORHOOD COMMERCIAL,0080C00094000000,80-C-94,Upper Lawrenceville,15201,-79.95471,40.479531
35,5272 BUTLER ST,LNC,LOCAL NEIGHBORHOOD COMMERCIAL,0080D00002000000,80-D-2,Upper Lawrenceville,15201,-79.952443,40.481964
36,5257 KEYSTONE ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080D00187000A00,80-D-187-A,Upper Lawrenceville,15201,-79.951682,40.48086
