Address,Business Name,Rating,Latitude,Longitude
1 43rd st,43rd Street Concrete,4.5,40.4751821,-79.9645814
1 mccandless ave,,,40.4837243,-79.9553408
1 ohara pl,,,40.4623559,-79.9626581
1 ohara pl apt 1,1 Ohara Pl Apartment 1,,40.4623261,-79.9626626
1 ohara pl apt 2,1 Ohara Pl Apartment 2,,40.4623261,-79.9626626
1 ohara pl apt 3,1 Ohara Pl Apartment 3,,40.4623261,-79.9626626
1 saint john pl,,,,
1 saint john pl apt 1,,,,
1 saint john pl apt 2,1120 Saint Johns Place,4.0,40.671001,-73.9412335
1 saint john pl apt 3,,,,
10 40th st,National Robotics Engineering Center,4.9,40.4728736,-79.9650268
10 40th st,Carnegie Mellon Robotics Academy,,40.47317590000001,-79.96500619999999
100 40th st,Steel City Speed & Custom,4.6,40.4708268,-79.9647737
100 43rd st,Renaissance & Baroque,,40.4728608,-79.9638889
100 43rd st,Asia Margo Photography,,40.4729243,-79.96394649999999
100 43rd st,"ProtoInnovations, LLC",5.0,40.47287370000001,-79.9638856
100 43rd st,Pittsburgh Ultimate,5.0,40.4726675,-79.9638216
100 43rd st,Ice House Studios,4.8,40.472912,-79.9636963
100 43rd st,Associated Artists of Pittsburgh,5.0,40.4731817,-79.96369109999999
100 43rd st,Elan Mizrahi Photography,5.0,40.4729254,-79.963728
100 44th st,,,40.4734079,-79.9627008
100 49th st,,,40.4780901,-79.9582485
100 50th st,,,40.4790471,-79.9581161
101 43rd half st,,,,
101 43rd st,,,40.4727579,-79.9630531
101 44th st apt 1,101 44th St Apartment 1,,40.4735494,-79.9624757
101 44th st apt 2,101 44th St Apartment 2,,40.4735894,-79.96243989999999
101 49th st,,,40.4787642,-79.9588986
102 1/2 44th st,,,,
102 43rd half st,,,40.4731598,-79.9629777
102 44th st,,,40.4734335,-79.9627544
102 mccandless ave,,,40.4807569,-79.952602
103 44th st,,,40.47350340000001,-79.96246420000001
103 44th st apt 1,103 44th St Apartment 1,,40.4735245,-79.9624369
103 44th st apt 2,103 44th St Apartment 2,,40.4735245,-79.9624369
103 49th st,,,40.4785101,-79.9587064
103 honeycrisp ln,,,40.4725917,-79.9561488
104 1/2 44th st,,,40.4733453,-79.9626619
104 43rd half st,,,40.4731311,-79.96293969999999
104 44th st,,,40.4733452,-79.9626626
105 40th st,Techmill 41,3.5,40.4715778,-79.9649063
105 40th st,Children's Hospital of Pittsburgh Foundation,5.0,40.4713134,-79.9650802
105 43rd st,,,40.4727882,-79.96295219999999
105 47th st,,,40.4762369,-79.9608798
105 53rd st,,,40.4818992,-79.951955
106 44th st,,,40.4733188,-79.96259359999999
106 53rd st,,,40.4818528,-79.95234239999999
107 43rd half st,,,,
107 44th st,,,40.4735026,-79.9623404
107 47th st,,,40.4764892,-79.96091179999999
107 honeycrisp ln,,,40.4725442,-79.9561836
108 43rd half st,,,,
108 43rd st,,,40.4724562,-79.9631192
108 44th st,,,40.47328419999999,-79.9625765
109 42nd st,,,40.4721555,-79.9631489
109 43rd half st,,,,
109 44th st,,,40.473503,-79.96232359999999
109 48th st,,,40.4788881,-79.9608206
110 44th st,,,40.4732737,-79.96252799999999
110 57th st,,,40.48480869999999,-79.94606610000001
111 35th st,A. R. Chambers Supply,4.9,40.46508199999999,-79.96827019999999
111 42nd st,,,40.4721123,-79.9631052
111 43rd half st,,,,
111 44th st,,,40.4734921,-79.9622648
111 45th st,,,40.4741335,-79.9617787
111 47th st,,,40.4764596,-79.96049599999999
111 honeycrisp ln,,,40.4725763,-79.9561988
112 35th st,FleetPride Service Center,4.7,40.4645868,-79.9685259
112 35th st,FleetPride,1.0,40.46455539999999,-79.9685212
112 44th st,,,40.4732312,-79.9624802
112 57th st,,,40.48458979999999,-79.9459206
113 42nd st,,,40.4720887,-79.96305869999999
113 43rd half st,,,,
113 43rd st,,,40.4725479,-79.9626558
113 44th st,,,40.4734244,-79.9622456
113 45th st,,,40.4741023,-79.9617054
113 47th st,,,40.4762443,-79.9605922
113 51st st,,,40.4801594,-79.9574325
113 mccandless ave,,,40.4828337,-79.9538683
114 41st st,,,40.4712632,-79.9640369
114 43rd half st,,,,
114 43rd st,,,40.4723074,-79.96296579999999
114 44th st,,,40.4732017,-79.9624362
115 1/2 42nd st,,,40.472025,-79.96296650000001
115 1/2 44th st,115 44th St,,40.4733692,-79.9621655
115 34th st,,,40.4636976,-79.969144
115 41st st,Bay 41,3.5,40.47160409999999,-79.9642964
115 41st st,Fort Willow Developers,3.0,40.4714289,-79.96377269999999
