Address,Business Name,Street,Rating,Latitude,Longitude,Flag
1 43rd st,43rd Street Concrete,39th St,4.5,40.4751821,-79.9645814,broad_filled
1 mccandless ave,1 McCandless Ave,"1 McCandless Ave, Pittsburgh, PA 15201, USA",,40.4837243,-79.9553408,broad_filled
1 ohara pl,1 Ohara Pl,"1 Ohara Pl, Pittsburgh, PA 15201, USA",,40.4623559,-79.9626581,broad_filled
1 ohara pl apt 1,1 Ohara Pl Apartment 1,"1 Ohara Pl Apartment 1, Pittsburgh, PA 15201, USA",,40.4623261,-79.9626626,broad_filled
1 ohara pl apt 2,1 Ohara Pl Apartment 2,"1 Ohara Pl Apartment 2, Pittsburgh, PA 15201, USA",,40.4623261,-79.9626626,broad_filled
1 ohara pl apt 3,1 Ohara Pl Apartment 3,"1 Ohara Pl Apartment 3, Pittsburgh, PA 15201, USA",,40.4623261,-79.9626626,broad_filled
1 saint john pl,,,,,,
1 saint john pl apt 1,,,,,,
1 saint john pl apt 2,1120 Saint Johns Place,"1120 St Johns Pl, Brooklyn, NY 11213, United States",4,40.671001,-73.9412335,broad_filled
1 saint john pl apt 3,,,,,,
10 40th st,National Robotics Engineering Center,butler st,4.9,40.4728736,-79.9650268,consolidated
10 40th st,Carnegie Mellon Robotics Academy,butler st,,40.47317590000001,-79.96500619999999,consolidated
100 40th st,Steel City Speed & Custom,penn ave,4.6,40.4708268,-79.9647737,consolidated
100 43rd st,Renaissance & Baroque,butler st,,40.4728608,-79.9638889,consolidated
100 43rd st,Karen Meyers Photography,butler st,5.0,40.4728608,-79.9638889,consolidated
100 43rd st,Asia Margo Photography,butler st,,40.4729243,-79.96394649999999,consolidated
100 43rd st,"ProtoInnovations, LLC",butler st,5.0,40.47287370000001,-79.9638856,consolidated
100 43rd st,Pittsburgh Ultimate,butler st,5.0,40.4726675,-79.9638216,consolidated
100 43rd st,McCormick Architects and Designers,butler st,5.0,40.47287370000001,-79.9638856,consolidated
100 43rd st,Ice House Studios,butler st,4.8,40.472912,-79.9636963,consolidated
100 43rd st,Associated Artists of Pittsburgh,butler st,5.0,40.4731817,-79.96369109999999,consolidated
100 43rd st,Elan Mizrahi Photography,butler st,5.0,40.4729254,-79.963728,consolidated
100 44th st,100 44th St,"100 44th St, Pittsburgh, PA 15201, USA",,40.4734079,-79.9627008,broad_filled
100 49th st,100 49th St,"100 49th St, Pittsburgh, PA 15201, USA",,40.4780901,-79.9582485,broad_filled
100 50th st,100 50th St,"100 50th St, Pittsburgh, PA 15201, USA",,40.4790471,-79.9581161,broad_filled
101 43rd half st,,,,,,
101 43rd st,101 43rd St,"101 43rd St, Pittsburgh, PA 15201, USA",,40.4727579,-79.9630531,broad_filled
101 44th st apt 1,101 44th St Apartment 1,"101 44th St Apartment 1, Pittsburgh, PA 15201, USA",,40.4735494,-79.9624757,broad_filled
101 44th st apt 2,101 44th St Apartment 2,"101 44th St Apartment 2, Pittsburgh, PA 15201, USA",,40.4735894,-79.96243989999999,broad_filled
101 49th st,101 49th St,"101 49th St, Pittsburgh, PA 15201, USA",,40.4787642,-79.9588986,broad_filled
102 1/2 44th st,,,,,,
102 43rd half st,102 43rd Half St,"102 43rd Half St, Pittsburgh, PA 15201, USA",,40.4731598,-79.9629777,broad_filled
102 44th st,102 44th St,"102 44th St, Pittsburgh, PA 15201, USA",,40.4734335,-79.9627544,broad_filled
102 mccandless ave,102 McCandless Ave,"102 McCandless Ave, Pittsburgh, PA 15201, USA",,40.4807569,-79.952602,broad_filled
103 44th st,103 44th St,"103 44th St, Pittsburgh, PA 15201, USA",,40.47350340000001,-79.96246420000001,broad_filled
103 44th st apt 1,103 44th St Apartment 1,"103 44th St Apartment 1, Pittsburgh, PA 15201, USA",,40.4735245,-79.9624369,broad_filled
103 44th st apt 2,103 44th St Apartment 2,"103 44th St Apartment 2, Pittsburgh, PA 15201, USA",,40.4735245,-79.9624369,broad_filled
103 49th st,103 49th St,"103 49th St, Pittsburgh, PA 15201, USA",,40.4785101,-79.9587064,broad_filled
103 honeycrisp ln,103 Honeycrisp Ln,"103 Honeycrisp Ln, Pittsburgh, PA 15201, USA",,40.4725917,-79.9561488,broad_filled
104 1/2 44th st,104 1/2 44th St,"104 1/2 44th St, Pittsburgh, PA 15201, USA",,40.4733453,-79.9626619,broad_filled
104 43rd half st,104 43rd Half St,"104 43rd Half St, Pittsburgh, PA 15201, USA",,40.4731311,-79.96293969999999,broad_filled
104 44th st,104 44th St,"104 44th St, Pittsburgh, PA 15201, USA",,40.4733452,-79.9626626,broad_filled
105 40th st,Techmill 41,butler st,3.5,40.4715778,-79.9649063,consolidated
105 40th st,Children's Hospital of Pittsburgh Foundation,butler st,5.0,40.4713134,-79.9650802,consolidated
105 43rd st,105 43rd St,"105 43rd St, Pittsburgh, PA 15201, USA",,40.4727882,-79.96295219999999,broad_filled
105 47th st,105 47th St,"105 47th St, Pittsburgh, PA 15201, USA",,40.4762369,-79.9608798,broad_filled
105 53rd st,105 53rd St,"105 53rd St, Pittsburgh, PA 15201, USA",,40.4818992,-79.951955,broad_filled
106 44th st,106 44th St,"106 44th St, Pittsburgh, PA 15201, USA",,40.4733188,-79.96259359999999,broad_filled
106 53rd st,106 53rd St,"106 53rd St, Pittsburgh, PA 15201, USA",,40.4818528,-79.95234239999999,broad_filled
107 43rd half st,,,,,,
107 44th st,107 44th St,"107 44th St, Pittsburgh, PA 15201, USA",,40.4735026,-79.9623404,broad_filled
107 47th st,107 47th St,"107 47th St, Pittsburgh, PA 15201, USA",,40.4764892,-79.96091179999999,broad_filled
107 honeycrisp ln,107 Honeycrisp Ln,"107 Honeycrisp Ln, Pittsburgh, PA 15201, USA",,40.4725442,-79.9561836,broad_filled
108 43rd half st,,,,,,
108 43rd st,108 43rd St,"108 43rd St, Pittsburgh, PA 15201, USA",,40.4724562,-79.9631192,broad_filled
108 44th st,108 44th St,"108 44th St, Pittsburgh, PA 15201, USA",,40.47328419999999,-79.9625765,broad_filled
109 42nd st,109 42nd St,"109 42nd St, Pittsburgh, PA 15201, USA",,40.4721555,-79.9631489,broad_filled
109 43rd half st,,,,,,
109 44th st,109 44th St,"109 44th St, Pittsburgh, PA 15201, USA",,40.473503,-79.96232359999999,broad_filled
109 48th st,109 48th St,"109 48th St, Pittsburgh, PA 15201, USA",,40.4788881,-79.9608206,broad_filled
110 44th st,110 44th St,"110 44th St, Pittsburgh, PA 15201, USA",,40.4732737,-79.96252799999999,broad_filled
110 57th st,110 57th St,"110 57th St, Pittsburgh, PA 15201, USA",,40.48480869999999,-79.94606610000001,broad_filled
111 35th st,A. R. Chambers Supply,34th St,4.9,40.46508199999999,-79.96827019999999,broad_filled
111 42nd st,111 42nd St,"111 42nd St, Pittsburgh, PA 15201, USA",,40.4721123,-79.9631052,broad_filled
111 43rd half st,,,,,,
111 44th st,111 44th St,"111 44th St, Pittsburgh, PA 15201, USA",,40.4734921,-79.9622648,broad_filled
111 45th st,111 45th St,"111 45th St, Pittsburgh, PA 15201, USA",,40.4741335,-79.9617787,broad_filled
111 47th st,111 47th St,"111 47th St, Pittsburgh, PA 15201, USA",,40.4764596,-79.96049599999999,broad_filled
111 honeycrisp ln,111 Honeycrisp Ln,"111 Honeycrisp Ln, Pittsburgh, PA 15201, USA",,40.4725763,-79.9561988,broad_filled
112 35th st,FleetPride Service Center,34th St,4.7,40.4645868,-79.9685259,broad_filled
112 35th st,FleetPride,34th St,1.0,40.46455539999999,-79.9685212,broad_filled
112 44th st,112 44th St,"112 44th St, Pittsburgh, PA 15201, USA",,40.4732312,-79.9624802,broad_filled
112 57th st,112 57th St,"112 57th St, Pittsburgh, PA 15201, USA",,40.48458979999999,-79.9459206,broad_filled
113 42nd st,113 42nd St,"113 42nd St, Pittsburgh, PA 15201, USA",,40.4720887,-79.96305869999999,broad_filled
113 43rd half st,,,,,,
113 43rd st,113 43rd St,"113 43rd St, Pittsburgh, PA 15201, USA",,40.4725479,-79.9626558,broad_filled
113 44th st,113 44th St,"113 44th St, Pittsburgh, PA 15201, USA",,40.4734244,-79.9622456,broad_filled
113 45th st,113 45th St,"113 45th St, Pittsburgh, PA 15201, USA",,40.4741023,-79.9617054,broad_filled
113 47th st,113 47th St,"113 47th St, Pittsburgh, PA 15201, USA",,40.4762443,-79.9605922,broad_filled
113 51st st,113 51st St,"113 51st St, Pittsburgh, PA 15201, USA",,40.4801594,-79.9574325,broad_filled
113 mccandless ave,113 McCandless Ave,"113 McCandless Ave, Pittsburgh, PA 15201, USA",,40.4828337,-79.9538683,broad_filled
114 41st st,114 41st St,"114 41st St, Pittsburgh, PA 15201, USA",,40.4712632,-79.9640369,broad_filled
114 43rd half st,,,,,,
114 43rd st,114 43rd St,"114 43rd St, Pittsburgh, PA 15201, USA",,40.4723074,-79.96296579999999,broad_filled
114 44th st,114 44th St,"114 44th St, Pittsburgh, PA 15201, USA",,40.4732017,-79.9624362,broad_filled
115 1/2 42nd st,115 1/2 42nd St,"115 1/2 42nd St, Pittsburgh, PA 15201, USA",,40.472025,-79.96296650000001,broad_filled
115 1/2 44th st,115 44th St,"115 44th St, Pittsburgh, PA 15201, USA",,40.4733692,-79.9621655,broad_filled
115 34th st,115 34th St,"115 34th St, Pittsburgh, PA 15201, USA",,40.4636976,-79.969144,broad_filled
115 41st st,Bay 41,butler st,3.5,40.47160409999999,-79.9642964,consolidated
115 41st st,Fort Willow Developers,butler st,3.0,40.4714289,-79.96377269999999,consolidated
115 41st st,Lawrenceville Farmers Market,butler st,4.8,40.4714793,-79.9638593,consolidated
115 42nd st,115 42nd St,"115 42nd St, Pittsburgh, PA 15201, USA",,40.472051,-79.9630232,broad_filled
115 44th st,115 44th St,"115 44th St, Pittsburgh, PA 15201, USA",,40.4733692,-79.9621655,broad_filled
115 45th st,115 45th St,"115 45th St, Pittsburgh, PA 15201, USA",,40.4740814,-79.9616746,broad_filled
115 53rd st,115 53rd St,"115 53rd St, Pittsburgh, PA 15201, USA",,40.4813917,-79.9512251,broad_filled
115 banner way,115 Banner Way,"115 Banner Way, Pittsburgh, PA 15201, USA",,40.4715776,-79.9635204,broad_filled
115 honeycrisp ln,115 Honeycrisp Ln,"115 Honeycrisp Ln, Pittsburgh, PA 15201, USA",,40.4725386,-79.9561251,broad_filled
115 locarna way,115 Locarna Way,"115 Locarna Way, Pittsburgh, PA 15201, USA",,40.4734956,-79.9620344,broad_filled
115 mccandless ave,115 McCandless Ave,"115 McCandless Ave, Pittsburgh, PA 15201, USA",,40.48086560000001,-79.9521595,broad_filled
116 34th st,Strip Self Storage,34th St,4.3,40.4632423,-79.9694943,broad_filled
116 41st st,116 41st St,"116 41st St, Pittsburgh, PA 15201, USA",,40.4712373,-79.96399319999999,broad_filled
116 43rd st,116 43rd St,"116 43rd St, Pittsburgh, PA 15201, USA",,40.4722655,-79.96289139999999,broad_filled
116 44th st,116 44th St,"116 44th St, Pittsburgh, PA 15201, USA",,40.4731723,-79.9623989,broad_filled
117 42nd st,117 42nd St,"117 42nd St, Pittsburgh, PA 15201, USA",,40.471996,-79.9629348,broad_filled
117 43rd st,117 43rd St,"117 43rd St, Pittsburgh, PA 15201, USA",,40.4724601,-79.96256149999999,broad_filled
