Street_bounding,Name_bounding,Address_bounding,Rating_bounding,Place ID,Latitude_bounding,Longitude_bounding,Street_broad,Name_broad,Address_broad,Rating_broad,Latitude_broad,Longitude_broad
liberty ave,Emilichka,"4614 Liberty Avenue, Pittsburgh",5.0,ChIJ--McpzzzNIgR7A8dIGZBu9c,40.4621346,-79.95043059999999,,,,,,
42nd st,Earthview Studios,"605 Pittview Avenue, Pittsburgh",5.0,ChIJ-4Dzi6_zNIgRZy4RRW1g_II,40.4738113,-79.9746771,43rd St,Earthview Studios,"605 Pittview Avenue, Pittsburgh",5.0,40.4738113,-79.9746771
,,,,ChIJ-5-3DKjzNIgRmnRq71bLZuE,,,49th St,Jean-Marc Chatellier's French Bakery,"213 North Avenue, Millvale",4.8,40.48123099999999,-79.974795
penn ave,Polish Eagles Society,"208 Fisk Street, Pittsburgh",4.9,ChIJ-725AE3yNIgRaKfBaozVOKc,40.4689862,-79.9613179,Penn Ave,Polish Eagles Society,"208 Fisk Street, Pittsburgh",4.9,40.4689862,-79.9613179
penn ave,York Commons,"4003 Penn Avenue, Pittsburgh",3.5,ChIJ-SRFTEnyNIgRh2GuecKy29c,40.46574820000001,-79.9575601,Penn Ave,York Commons,"4003 Penn Avenue, Pittsburgh",3.5,40.46574820000001,-79.9575601
,,,,ChIJ-WdLXWPzNIgRcT6R7buS6Y4,,,50th St,Curated Flame,"505 Grant Avenue, Millvale",4.9,40.4804326,-79.9742952
liberty ave,Industrius CFO,"4117 Liberty Avenue, Pittsburgh",,ChIJ-Yu9kUjyNIgRDuG3wqPAzZ8,40.46367969999999,-79.95377049999999,,,,,,
liberty ave,Be The Boss,"4117 Liberty Avenue, Pittsburgh",,ChIJ-Yu9kUjyNIgRXyu2uj0rRV0,40.463579,-79.953955,,,,,,
liberty ave,eCollect Plus,"804 Fayette Street, Conshohocken",3.0,ChIJ-Yu9kUjyNIgRnRbcZPZDSz8,40.4637138,-79.9538054,,,,,,
,,,,ChIJ-Zem-KjzNIgR8LmP3mZdmjM,,,Plummer St,Ceney Electronics,"318 Grant Avenue, Millvale",4.2,40.479776,-79.97272319999999
penn ave,Phoenix Boutique,"3627 Butler Street, Pittsburgh",4.7,ChIJ-_-tprTzNIgRvqYUNU98OK8,40.4661902,-79.9649519,Penn Ave,Phoenix Boutique,"3627 Butler Street, Pittsburgh",4.7,40.4661902,-79.9649519
