Address,Business Name,Street,Rating,Latitude,Longitude,Flag
182 34TH ST,,,,,,
5239 BUTLER ST,,,,,,
5158 BUTLER ST,,,,,,
5229 BUTLER ST,,,,,,
5227 BUTLER ST,,,,,,
5150 BUTLER ST,,,,,,
5203 CARNEGIE ST,,,,,,
5161 BUTLER ST,,,,,,
5232 HARRISON ST,,,,,,
41 MCCANDLESS AVE,,,,,,
5200 BUTLER ST,,,,,,
5152 BUTLER ST,,,,,,
5166 BUTLER ST,,,,,,
5205 CARNEGIE ST,,,,,,
5151 BUTLER ST,,,,,,
5208 BUTLER ST,,,,,,
5159 CARNEGIE ST,,,,,,
5259 CARNEGIE ST,,,,,,
5269 CARNEGIE ST,,,,,,
5272 CARNEGIE ST,,,,,,
5268 CARNEGIE ST,,,,,,
5252 CARNEGIE ST,,,,,,
5238 CARNEGIE ST,,,,,,
5226 HARRISON ST,,,,,,
5231 CARNEGIE ST,,,,,,
5240 CARNEGIE ST,,,,,,
5241 NATRONA WAY,,,,,,
5234 HARRISON ST,,,,,,
5244 HARRISON ST,,,,,,
5235 CARNEGIE ST,,,,,,
5268 BUTLER ST,,,,,,
5233 NATRONA WAY,,,,,,
5236 CARNEGIE ST,,,,,,
5144 BUTLER ST,,,,,,
5272 BUTLER ST,,,,,,
5257 KEYSTONE ST,,,,,,
5250 BUTLER ST,,,,,,
5229 CARNEGIE ST,,,,,,
5247 CARNEGIE ST,,,,,,
5233 DRESDEN WAY,,,,,,
5266 NATRONA WAY,,,,,,
115 53RD ST,,,,,,
5229 NATRONA WAY,,,,,,
5260 NATRONA WAY,,,,,,
5238 BUTLER ST,,,,,,
5236 BUTLER ST,,,,,,
5332 NATRONA WAY,,,,,,
5320 KEYSTONE ST,,,,,,
5213 KEYSTONE ST,,,,,,
5328 KEYSTONE ST,,,,,,
5166 CARNEGIE ST,,,,,,
5210 BUTLER ST,,,,,,
5170 BUTLER ST,,,,,,
5163 CARNEGIE ST,,,,,,
39 MCCANDLESS AVE,,,,,,
5254 CARNEGIE ST,,,,,,
125 51ST ST,,,,,,
5173 NATRONA WAY,,,,,,
5318 NATRONA WAY,,,,,,
5311 KEYSTONE ST,,,,,,
5204 CARNEGIE ST,,,,,,
137 MCCANDLESS AVE,,,,,,
5241 KENT WAY,,,,,,
5304 NATRONA WAY,,,,,,
5261 KEYSTONE ST,,,,,,
5220 DRESDEN WAY,,,,,,
5221 CARNEGIE ST,,,,,,
5212 CARNEGIE ST,,,,,,
310 54TH ST,,,,,,
5267 CARNEGIE ST,,,,,,
5264 CARNEGIE ST,,,,,,
5232 CARNEGIE ST,,,,,,
5258 CARNEGIE ST,,,,,,
5230 HARRISON ST,,,,,,
5305 CARNEGIE ST,,,,,,
5240 HARRISON ST,,,,,,
5269 DRESDEN WAY,,,,,,
5317 KEYSTONE ST,,,,,,
5227 NATRONA WAY,,,,,,
421 52ND ST,,,,,,
5322 NATRONA WAY,,,,,,
5210 CARNEGIE ST,,,,,,
308 54TH ST,,,,,,
5328 NATRONA WAY,,,,,,
5176 CARNEGIE ST,,,,,,
5314 NATRONA WAY,,,,,,
117 53RD ST,,,,,,
5175 BUTLER ST,,,,,,
5270 BUTLER ST,,,,,,
5262 BUTLER ST,,,,,,
5170 CARNEGIE ST,,,,,,
5253 CARNEGIE ST,,,,,,
5204 BUTLER ST,,,,,,
5250 HARRISON ST,,,,,,
5148 BUTLER ST,,,,,,
5145 BUTLER ST,,,,,,
5245 BUTLER ST,,,,,,
5146 BUTLER ST,,,,,,
5160 BUTLER ST,,,,,,
5202 BUTLER ST,,,,,,
5171 BUTLER ST,,,,,,
5154 BUTLER ST,,,,,,
5222 BUTLER ST,,,,,,
5243 CARNEGIE ST,,,,,,
5207 CARNEGIE ST,,,,,,
95 MCCANDLESS AVE,,,,,,
5150 RUBY ST,,,,,,
5214 BUTLER ST,,,,,,
5212 DRESDEN WAY,,,,,,
5265 KEYSTONE ST,,,,,,
5231 NATRONA WAY,,,,,,
119 53RD ST,,,,,,
5202 CARNEGIE ST,,,,,,
5307 CARNEGIE ST,,,,,,
5246 HARRISON ST,,,,,,
211 52ND ST,,,,,,
5305 KEYSTONE ST,,,,,,
5309 KEYSTONE ST,,,,,,
5261 CARNEGIE ST,,,,,,
5262 CARNEGIE ST,,,,,,
5249 CARNEGIE ST,,,,,,
5230 BUTLER ST,,,,,,
35 MCCANDLESS AVE,,,,,,
5167 BUTLER ST,,,,,,
5215 CARNEGIE ST,,,,,,
5248 HARRISON ST,,,,,,
5237 CARNEGIE ST,,,,,,
5256 NATRONA WAY APT A,,,,,,
5216 CARNEGIE ST,,,,,,
5270 CARNEGIE ST,,,,,,
5255 KEYSTONE ST,,,,,,
5327 KEYSTONE ST,,,,,,
5216 NATRONA WAY,,,,,,
5204 NATRONA WAY,,,,,,
5225 KEYSTONE ST,,,,,,
125 MCCANDLESS AVE,,,,,,
5332 KEYSTONE ST,,,,,,
5312 KEYSTONE ST,,,,,,
121 MCCANDLESS AVE,,,,,,
5174 CARNEGIE ST,,,,,,
123 53RD ST,,,,,,
5264 NATRONA WAY,,,,,,
115 MCCANDLESS AVE,,,,,,
5258 DRESDEN WAY,,,,,,
5322 KEYSTONE ST,,,,,,
5172 CARNEGIE ST,,,,,,
5306 HOLMES ST,,,,,,
5227 HOLMES ST,,,,,,
5266 KEYSTONE ST,,,,,,
5237 HOLMES ST,,,,,,
5227 KEYSTONE ST,,,,,,
5322 KENT WAY,,,,,,
517 53RD ST,,,,,,
5326 NATRONA WAY,,,,,,
5318 KENT WAY,,,,,,
5328 KENT WAY,,,,,,
5304 HOLMES ST,,,,,,
5326 KENT WAY,,,,,,
509 54TH ST,,,,,,
5175 NATRONA WAY,,,,,,
5214 CARNEGIE ST,,,,,,
127 MCCANDLESS AVE,,,,,,
123 MCCANDLESS AVE,,,,,,
417 52ND ST,,,,,,
5210 NATRONA WAY,,,,,,
5237 KEYSTONE ST,,,,,,
5243 KEYSTONE ST,,,,,,
415 52ND ST,,,,,,
117 MCCANDLESS AVE,,,,,,
5234 KENT WAY,,,,,,
5300 KEYSTONE ST,,,,,,
129 MCCANDLESS AVE,,,,,,
5334 KEYSTONE ST,,,,,,
5235 KEYSTONE ST,,,,,,
5209 CARNEGIE ST,,,,,,
5260 CARNEGIE ST,,,,,,
5167 CARNEGIE ST,,,,,,
5310 NATRONA WAY,,,,,,
5212 KEYSTONE ST,,,,,,
5310 HOLMES ST,,,,,,
5264 HOLMES ST,,,,,,
5242 KEYSTONE ST,,,,,,
5330 KEYSTONE ST,,,,,,
5303 CARNEGIE ST,,,,,,
419 52ND ST,,,,,,
5263 KEYSTONE ST,,,,,,
5267 KEYSTONE ST,,,,,,
5211 NATRONA WAY,,,,,,
5255 BUTLER ST,,,,,,
5266 BUTLER ST,,,,,,
105 53RD ST,,,,,,
5221 NATRONA WAY,,,,,,
5273 KEYSTONE ST,,,,,,
5225 CARNEGIE ST,,,,,,
5227 CARNEGIE ST,,,,,,
5307 KEYSTONE ST,,,,,,
5214 DRESDEN WAY,,,,,,
5319 KEYSTONE ST,,,,,,
5271 DUNCAN ST,,,,,,
5218 KEYSTONE ST,,,,,,
5316 HOLMES ST,,,,,,
5229 HOLMES ST,,,,,,
5229 KENT WAY,,,,,,
5261 DUNCAN ST,,,,,,
5242 LOTUS WAY,,,,,,
5320 NATRONA WAY,,,,,,
5203 NATRONA WAY,,,,,,
5313 KEYSTONE ST,,,,,,
5241 DRESDEN WAY,,,,,,
5224 NATRONA WAY,,,,,,
5204 KEYSTONE ST,,,,,,
5230 KENT WAY,,,,,,
5242 HOLMES ST,,,,,,
606 MCCANDLESS AVE,,,,,,
5216 KEYSTONE ST,,,,,,
206 MCCANDLESS AVE,,,,,,
5402 KEYSTONE ST,,,,,,
5323 KEYSTONE ST,,,,,,
5400 KEYSTONE ST,,,,,,
5202 NATRONA WAY,,,,,,
5318 KEYSTONE ST,,,,,,
5312 NATRONA WAY,,,,,,
5203 KEYSTONE ST,,,,,,
608 MCCANDLESS AVE,,,,,,
5269 DUNCAN ST,,,,,,
4821 HARRISON ST,,,,,,
4819 HATFIELD ST,,,,,,
172 49TH ST,,,,,,
5211 KEYSTONE ST,,,,,,
5404 KEYSTONE ST,,,,,,
5209 NATRONA WAY,,,,,,
5315 KEYSTONE ST,,,,,,
5239 KEYSTONE ST,,,,,,
5314 KENT WAY,,,,,,
5316 KENT WAY,,,,,,
5240 HOLMES ST,,,,,,
5254 HOLMES ST,,,,,,
5246 HOLMES ST,,,,,,
5232 KEYSTONE ST,,,,,,
5260 KEYSTONE ST,,,,,,
5228 NATRONA WAY,,,,,,
5232 KENT WAY,,,,,,
5228 KEYSTONE ST,,,,,,
5230 NATRONA WAY,,,,,,
5208 CARNEGIE ST,,,,,,
5200 CARNEGIE ST,,,,,,
5334 NATRONA WAY,,,,,,
5275 KEYSTONE ST,,,,,,
5271 KEYSTONE ST,,,,,,
5308 KEYSTONE ST,,,,,,
5219 NATRONA WAY,,,,,,
5309 HOLMES ST,,,,,,
170 49TH ST,,,,,,
5268 HOLMES ST,,,,,,
5308 HOLMES ST,,,,,,
5263 DUNCAN ST,,,,,,
4925 HARRISON ST,,,,,,
512 MCCANDLESS AVE,,,,,,
610 MCCANDLESS AVE,,,,,,
4815 HATFIELD ST,,,,,,
5217 KEYSTONE ST,,,,,,
5222 CARNEGIE ST,,,,,,
4820 HARRISON ST,,,,,,
4835 HATFIELD ST,,,,,,
5306 KEYSTONE ST,,,,,,
5241 KEYSTONE ST,,,,,,
517 1/2 53RD ST,,,,,,
521 53RD ST,,,,,,
5335 KEYSTONE ST,,,,,,
5330 KENT WAY,,,,,,
5276 HOLMES ST,,,,,,
5312 KENT WAY,,,,,,
5239 LOTUS WAY,,,,,,
5316 KEYSTONE ST,,,,,,
5209 KENT WAY,,,,,,
5324 KENT WAY,,,,,,
5302 HOLMES ST,,,,,,
5230 KEYSTONE ST,,,,,,
139 MCCANDLESS AVE,,,,,,
5231 HOLMES ST,,,,,,
5258 HOLMES ST,,,,,,
5222 KEYSTONE ST,,,,,,
5317 HOLMES ST,,,,,,
5249 DUNCAN ST,,,,,,
5301 LOTUS WAY APT 1,,,,,,
5252 HOLMES ST,,,,,,
5233 HOLMES ST,,,,,,
5239 KENT WAY,,,,,,
5272 KEYSTONE ST,,,,,,
5237 LOTUS WAY,,,,,,
5224 KEYSTONE ST,,,,,,
5270 HOLMES ST,,,,,,
5260 HOLMES ST,,,,,,
5240 KEYSTONE ST,,,,,,
515 53RD ST,,,,,,
5254 KEYSTONE ST,,,,,,
5214 KEYSTONE ST,,,,,,
4930 HARRISON ST,,,,,,
4915 HATFIELD ST,,,,,,
5206 BUTLER ST,,,,,,
5301 DUNCAN ST,,,,,,
4912 PLUM WAY,,,,,,
4936 HARRISON ST,,,,,,
4927 HATFIELD ST,,,,,,
5263 CARNEGIE ST,,,,,,
5266 CARNEGIE ST,,,,,,
5322 CARNEGIE ST,,,,,,
5137 BUTLER ST,,,,,,
5247 BUTLER ST,,,,,,
27 51ST ST,,,,,,
5204 DRESDEN WAY,,,,,,
5149 BUTLER ST,,,,,,
5218 BUTLER ST,,,,,,
5175 DRESDEN WAY,,,,,,
5220 BUTLER ST,,,,,,
5169 BUTLER ST,,,,,,
5260 BUTLER ST,,,,,,
5220 CARNEGIE ST,,,,,,
5165 BUTLER ST,,,,,,
5257 CARNEGIE ST,,,,,,
5239 CARNEGIE ST,,,,,,
5301 CARNEGIE ST,,,,,,
5239 NATRONA WAY,,,,,,
5238 HARRISON ST,,,,,,
5224 CARNEGIE ST,,,,,,
5234 BUTLER ST,,,,,,
5256 CARNEGIE ST,,,,,,
5258 BUTLER ST,,,,,,
119 MCCANDLESS AVE,,,,,,
5241 CARNEGIE ST,,,,,,
5165 CARNEGIE ST,,,,,,
5231 BUTLER ST,,,,,,
5168 CARNEGIE ST,,,,,,
5218 1/2 CARNEGIE ST,,,,,,
5231 DRESDEN WAY,,,,,,
5244 CARNEGIE ST,,,,,,
5206 CARNEGIE ST,,,,,,
5147 BUTLER ST,,,,,,
5236 HARRISON ST,,,,,,
5251 CARNEGIE ST,,,,,,
5246 CARNEGIE ST,,,,,,
5242 HARRISON ST,,,,,,
5146 RUBY ST,,,,,,
5233 CARNEGIE ST,,,,,,
5250 CARNEGIE ST,,,,,,
5161 CARNEGIE ST,,,,,,
5265 CARNEGIE ST,,,,,,
5217 CARNEGIE ST,,,,,,
5252 HARRISON ST,,,,,,
5228 HARRISON ST,,,,,,
5235 DRESDEN WAY,,,,,,
5222 DRESDEN WAY,,,,,,
5224 DRESDEN WAY,,,,,,
121 53RD ST,,,,,,
5329 KEYSTONE ST,,,,,,
512 54TH ST,,,,,,
5259 KEYSTONE ST,,,,,,
5336 KEYSTONE ST,,,,,,
5331 KEYSTONE ST,,,,,,
5272 HOLMES ST,,,,,,
5314 HOLMES ST,,,,,,
5226 KEYSTONE ST,,,,,,
4916 PLUM WAY,,,,,,
4825 HATFIELD ST,,,,,,
4813 HATFIELD ST,,,,,,
5105 BUTLER ST,,,,,,
4904 HATFIELD ST,,,,,,
5257 DUNCAN ST,,,,,,
5251 DUNCAN ST,,,,,,
4934 HATFIELD ST,,,,,,
4914 HATFIELD ST,,,,,,
20 39TH ST,Three Rivers Packaging Div. of The Cary Company,penn ave,5.0,40.46987679999999,-79.9670805,consolidated
4905 BLACKBERRY WAY,,,,,,
5321 KEYSTONE ST,,,,,,
5219 CARNEGIE ST,,,,,,
5255 CARNEGIE ST,,,,,,
5142 RUBY ST,,,,,,
106 53RD ST,,,,,,
413 52ND ST,,,,,,
5240 BUTLER ST,,,,,,
5234 CARNEGIE ST,,,,,,
5325 KEYSTONE ST,,,,,,
5248 CARNEGIE ST,,,,,,
5274 HOLMES ST,,,,,,
5266 HOLMES ST,,,,,,
5248 HOLMES ST,,,,,,
5250 HOLMES ST,,,,,,
5243 DUNCAN ST,,,,,,
5253 DUNCAN ST,,,,,,
5234 KEYSTONE ST,,,,,,
5220 KEYSTONE ST,,,,,,
5256 KEYSTONE ST,,,,,,
5226 KENT WAY,,,,,,
141 MCCANDLESS AVE,,,,,,
5208 KEYSTONE ST,,,,,,
