Address,Business Name,Street,Rating,Latitude,Longitude,Flag
"0048H00200000000, Pittsburgh",LAWRENCEVILLE BOAT LAUNCH,butler st,,40.4716101,-79.9672358,consolidated
"101A Bridge Street, Millvale",Three Rivers Boat Rental,39th St,4.4,40.4759885,-79.9685157,broad_filled
"1922, 4617 Liberty Avenue, Pittsburgh",Lot 17,liberty ave,4.5,40.4624552,-79.9502692,consolidated
"199-191 36th Street, Pittsburgh",POGOH Bike Share Station,penn ave,,40.4654394,-79.96551790000001,bounding_only
"287-255 40th Street, Pittsburgh",Allegheny Arsenal Historical Marker,penn ave,3.0,40.4672303,-79.9605033,consolidated
"3513A Butler Street, Pittsburgh","ISKCON Pittsburgh, PA",penn ave,5.0,40.464408,-79.9663065,consolidated
"35th Street, Pittsburgh",Pink lot 3,34th St,,40.46473,-79.96815730000002,broad_filled
"4052b Liberty Avenue, Pittsburgh",Budget Truck Rental,liberty ave,2.3,40.46293709999999,-79.955347,consolidated
"40th Street, Pittsburgh",Allegheny County Maintenance District 7,penn ave,,40.47085259999999,-79.96496929999999,consolidated
"8, 3901 Penn Avenue #3, Pittsburgh",Allegheny County Health Department Public Health Laboratory,penn ave,3.5,40.4654045,-79.95903969999999,consolidated
"Arsenal Lanes, 212 44th Street, Pittsburgh",Cardtronics,butler st,,40.471189,-79.9595354,consolidated
"basement, 4112 Butler Street, Pittsburgh",Kickback Pinball Cafe,penn ave,4.6,40.4698275,-79.9606481,consolidated
"Bloomfield Homes, Block 3 Lot 17 Section 2, Pittsburgh",Axel Rimorin House 2,liberty ave,,40.462472,-79.950266,bounding_only
"Butler St &, 46th Street, Pittsburgh",Leslie Park,butler st,5.0,40.472813,-79.95880319999999,consolidated
"c/o Beauty Shoppe, 3706 Butler Street, Pittsburgh","New Ivy Group, LLC",penn ave,,40.4663709,-79.9643997,bounding_only
"Clement Way, Pittsburgh",Clement Way Graffiti Alley,liberty ave,5.0,40.463838,-79.95373579999999,bounding_only
"Edmond Street, Pittsburgh",Bloomfield Lofts,liberty ave,,40.4612999,-79.94781429999999,bounding_only
"Farragut Street, Millvale",The Embassy,50th st,5.0,40.4791205,-79.97491029999999,consolidated
"First floor, 3538 Butler Street, Pittsburgh",Studio 725 Hair Boutique,penn ave,4.5,40.4649929,-79.9653896,bounding_only
"Gold Way, Pittsburgh",Family Foot Center,Liberty Ave,,40.45794089999999,-79.9550345,broad_filled
"Hazelwood Trail, Pittsburgh",Bernard Dog Run,34th st,4.5,40.4697723,-79.9682768,consolidated
"Lawrenceville Market House, 4112 Butler Street, Pittsburgh",Main Street Diner,penn ave,5.0,40.4698449,-79.9607555,consolidated
"Lawrenceville Trail, Pittsburgh",Lawrenceville Three Rivers Heritage Trail,butler st,4.6,40.47136130000001,-79.967191,consolidated
"Liberty At, 4779 South Mathilda Street, Pittsburgh",Sunoco Gas Station,liberty ave,2.1,40.460995,-79.9473563,bounding_only
"Main Street, Pittsburgh","BCD Pink, Inc. Drop and Fluff!",penn ave,,40.46689879999999,-79.95673699999999,consolidated
"Martin Luther King Jr. East Busway, Pittsburgh",Bloomfield Bridge,liberty ave,5.0,40.4603451,-79.9559297,consolidated
Millvale,Bore-Millvale Athletic Field,stanton ave,5.0,40.480069,-79.9783862,consolidated
Millvale,McCarthy Park,52nd st,,40.4806544,-79.9753523,consolidated
Millvale,Three Rivers Water Trail Launch- Millvale Boat Launch,38th St,4.0,40.469387,-79.9746488,broad_filled
Millvale,Washington Crossing Bridge,39th st,5.0,40.4728222,-79.96856509999999,consolidated
Millvale,Millvale,34th st,,40.480069,-79.9783862,consolidated
"One Sheridan Street, Millvale",Christman Chemical Co. Inc.,48th st,,40.4773719,-79.9718496,consolidated
"Parking, Lot 108 43rd Street, Pittsburgh",Pittsburgh Burrito Bus,butler st,3.0,40.4724333,-79.9631394,consolidated
Pittsburgh,Bloomfield,liberty ave,,40.4621606,-79.94445259999999,consolidated
Pittsburgh,Baseball Field,butler st,,40.4723589,-79.9574781,bounding_only
Pittsburgh,Lawrenceville,penn ave,,40.4698118,-79.9609176,consolidated
Pittsburgh,Washington's Landing Public Tennis Courts,37th St,,40.4686111,-79.9740851,broad_filled
Pittsburgh,Pittsburgh,liberty ave,,40.44062479999999,-79.9958864,consolidated
Pittsburgh,Look Out Street Parklet,41st St,3.8,40.46934299999999,-79.9770565,broad_filled
Pittsburgh,Agustin home cleaning services LLC,butler st,,40.4717898,-79.961373,bounding_only
Pittsburgh,Herrs Island North Park,37th St,4.7,40.4689668,-79.97364809999999,broad_filled
Pittsburgh,"Sharon L. Hovis, LSW",liberty ave,,40.46578699999999,-79.94944249999999,bounding_only
Pittsburgh,Basketball Court,liberty ave,,40.4622423,-79.95393779999999,consolidated
Pittsburgh,33rd Street Railroad Bridge,34th St,,40.4648553,-79.9728308,broad_filled
Pittsburgh,Mark Gillece Plumbing & Heating,butler st,3.0,40.47371630000001,-79.96123659999999,bounding_only
Pittsburgh,Baseball Field,butler st,,40.4727703,-79.9567788,bounding_only
Pittsburgh,Saint Nicholas Cemetery,46th st,,40.4748924,-79.9783674,consolidated
Pittsburgh,Melwood Parklet,liberty ave,,40.4599128,-79.9574781,consolidated
Pittsburgh,Baseball Field,penn ave,,40.4663936,-79.96132419999999,bounding_only
Pittsburgh,Sullivan Field,Penn Ave,3.6,40.4625037,-79.9635321,broad_filled
Pittsburgh,John (Baldy) McGrane Memorial Field,butler st,,40.47257219999999,-79.9572159,bounding_only
Pittsburgh,Giant Eagle,butler st,,40.4714933,-79.9652919,consolidated
Pittsburgh,Hockey Rink,penn ave,,40.4667266,-79.9619798,bounding_only
Pittsburgh,Lawrenceville Community Garden,penn ave,,40.4675258,-79.9562543,bounding_only
Pittsburgh,POGOH Bike Share Station,penn ave,,40.4702146,-79.96036169999999,consolidated
Reserve Township,Reserve Township,42nd st,,40.4862334,-79.9892034,consolidated
"Rite Aid, 3939 Butler Street, Pittsburgh",Amazon Locker - Gull,penn ave,,40.468985,-79.96325499999999,consolidated
"Ronald McDonald House, 451 44th Street, Pittsburgh",Citizens Bank,penn ave,3.0,40.46747000000001,-79.9539042,bounding_only
"Side Door, 4100 Davison Street, Pittsburgh",Andy Johanson,penn ave,5.0,40.46898319999999,-79.9589723,consolidated
"The Ice House Studios, 100 43rd Street Unit 114, Pittsburgh",The Irving and Aaronel deRoy Gruber Foundation,butler st,5.0,40.4729117,-79.9636664,consolidated
United States,Penn Ave + 39th St,penn ave,5.0,40.464779,-79.960281,consolidated
United States,East Ohio St + Grant,44th St,,40.478296,-79.96892000000001,broad_filled
United States,Butler St at 36th St,penn ave,,40.465381,-79.96527449999999,bounding_only
United States,Liberty Ave at Canoe Way,liberty ave,,40.4631355,-79.955061,bounding_only
United States,Friendship Ave at Pearl St,liberty ave,,40.463452,-79.9489205,bounding_only
United States,Howley St at Friendship Ave,liberty ave,,40.465112,-79.951343,bounding_only
United States,Penn Ave at Main St,liberty ave,,40.465604,-79.9552175,bounding_only
United States,Butler St + 44th,butler st,,40.4715875,-79.9597981,bounding_only
United States,"Dr. Franklin N. Masin, MD",52nd St,,40.48138600000001,-79.97425989999999,broad_filled
United States,MT Troy Rd + Baun,Charlotte,,40.481491,-79.989209,broad_filled
United States,MT Troy Rd + Alfred,51st St,,40.473092,-79.983485,broad_filled
United States,Lowrie St at Heckleman St,44th St,,40.468698,-79.9790915,broad_filled
United States,Friendship Ave + Ella St,liberty ave,,40.46461499999999,-79.950508,bounding_only
United States,East Ohio St at Grant Ave,43rd St,,40.47802599999999,-79.9692915,broad_filled
United States,MT Troy Rd + Alfred,51st St,,40.473098,-79.983389,broad_filled
United States,Friendship Ave + Pearl St,liberty ave,,40.46349,-79.94881199999999,bounding_only
United States,Butler St + 43rd,penn ave,,40.470478,-79.96037299999999,consolidated
United States,Liberty Ave + Main St (Bloomfield Bridge),liberty ave,,40.463497,-79.95336499999999,bounding_only
United States,MT Troy Rd + Lonsdale,Stanton Ave,,40.47376999999999,-79.984078,broad_filled
United States,Penn Ave + 36th,penn ave,,40.46424699999999,-79.963848,consolidated
United States,MT Troy Rd + Kinkura,Fisk St,,40.4795,-79.98763,broad_filled
United States,40th St + Davidson St FS,penn ave,,40.467651,-79.96094,consolidated
United States,Friendship Ave + Pearl St,liberty ave,,40.463627,-79.949135,bounding_only
United States,Penn Ave + 36th,penn ave,5.0,40.46413099999999,-79.96403099999999,consolidated
United States,Butler St + 39th,penn ave,,40.467355,-79.963858,consolidated
United States,MT Troy Rd + Fornof Ln,55th St,,40.478233,-79.98604399999999,broad_filled
United States,Penn Ave + 39th St,penn ave,,40.464861,-79.960202,consolidated
United States,Penn Ave + Main St,penn ave,3.0,40.465573,-79.955463,bounding_only
United States,Lowrie St + Heckleman,44th St,,40.468788,-79.97908,broad_filled
United States,Butler St + 46th,butler st,,40.472953,-79.95873499999999,consolidated
United States,Butler St + 36th St,penn ave,,40.46547899999999,-79.96531,bounding_only
United States,MT Troy Rd + Kinkura,Fisk St,,40.479397,-79.987611,broad_filled
United States,Butler St at 38th St,penn ave,,40.4668077,-79.9642786,consolidated
United States,Butler St + 41st,penn ave,,40.46958600000001,-79.96124999999999,consolidated
United States,Penn Ave at 40th St,penn ave,,40.4651715,-79.957978,bounding_only
United States,Butler St + 36th St,penn ave,,40.465433,-79.965183,bounding_only
United States,39th St + Butler,penn ave,,40.467498,-79.96359199999999,bounding_only
United States,Butler St + 37th,penn ave,,40.466091,-79.964775,bounding_only
United States,Liberty Ave at Pearl St,liberty ave,,40.462094,-79.949877,bounding_only
United States,Propane Grills & Campers,42nd St,,40.4776415,-79.9694391,broad_filled
United States,MT Troy Rd + #2840,Fisk St,,40.476907,-79.98756499999999,broad_filled
United States,Main St + Howley FS,liberty ave,,40.46420699999999,-79.953178,bounding_only
United States,Penn Ave + Main,penn ave,,40.465725,-79.95505399999999,bounding_only
United States,Ella St + Liberty,liberty ave,5.0,40.46331439999999,-79.951753,bounding_only
United States,Main St + Howley,liberty ave,,40.46434000000001,-79.953484,bounding_only
United States,Liberty Ave + Pearl,liberty ave,,40.46210900000001,-79.949989,bounding_only
United States,Friendship Ave + Howley,liberty ave,,40.46525,-79.951388,bounding_only
United States,Pittsburgh Restaurant Workers Aid,liberty ave,,40.4623197,-79.9505399,bounding_only
United States,Butler St + 37th St,penn ave,,40.46633,-79.96471,consolidated
United States,Butler St + 47th,butler st,,40.473871,-79.95795300000002,consolidated
United States,Friendship Ave + Howley,liberty ave,,40.46510900000001,-79.95106899999999,bounding_only
United States,Howley St + Shur Save Drvwy (Gangwish),liberty ave,5.0,40.4643983,-79.95226219999999,bounding_only
United States,Liberty Ave + Pearl,liberty ave,,40.46209699999999,-79.949748,bounding_only
United States,Butler St + 38th St,penn ave,,40.466967,-79.964263,consolidated
United States,Cj Hoffman Agency Inc,liberty ave,,40.4617197,-79.9494237,bounding_only
United States,Friendship Ave + Taylor St,liberty ave,5.0,40.464046,-79.949724,bounding_only
